                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.2482,                 1.2446,                 1.4641,                0.58467,                0.47084,                0.47932,                0.22075,                 1.9325,                 1.7128,                 2.2202,              0.0083764,              0.0083764,              0.0083764
                     84,                 1.2446,                 1.2381,                 1.4671,                0.60373,                0.48267,                0.49825,                0.23634,                 1.8979,                 1.6728,                 2.1793,              0.0083566,              0.0083566,              0.0083566
                     85,                 1.2397,                 1.2537,                 1.4581,                0.57795,                0.48385,                0.46396,                0.21658,                 1.9097,                 1.7291,                 2.2064,              0.0083368,              0.0083368,              0.0083368
                     86,                 1.2242,                 1.2289,                 1.4466,                0.58684,                0.50042,                0.50314,                0.23507,                 1.8876,                 1.6539,                 2.1899,               0.008317,               0.008317,               0.008317
                     87,                 1.2327,                  1.211,                 1.4532,                 0.5861,                0.46863,                0.48004,                0.22881,                 1.8764,                  1.705,                 2.1451,              0.0082972,              0.0082972,              0.0082972
                     88,                 1.2107,                 1.2038,                 1.4375,                0.58212,                 0.4869,                0.49567,                0.22914,                 1.9005,                 1.6867,                 2.1926,              0.0082774,              0.0082774,              0.0082774
                     89,                 1.2189,                 1.2049,                 1.4368,                0.58303,                 0.4814,                0.49958,                0.23323,                 1.8752,                 1.6864,                 2.1313,              0.0082576,              0.0082576,              0.0082576
                     90,                 1.2055,                 1.1771,                 1.4324,                 0.6141,                0.46365,                 0.4857,                0.22377,                 1.8947,                 1.7048,                 2.1924,              0.0082378,              0.0082378,              0.0082378
                     91,                 1.2043,                 1.1825,                 1.4286,                0.59441,                0.47337,                0.48762,                0.22707,                  1.891,                 1.6886,                 2.1876,               0.008218,               0.008218,               0.008218
                     92,                 1.2019,                  1.184,                 1.4315,                0.58018,                0.48859,                0.48882,                0.22472,                 1.9139,                 1.6913,                 2.2167,              0.0081982,              0.0081982,              0.0081982
                     93,                 1.1985,                 1.1936,                 1.4244,                0.60856,                0.47295,                0.48107,                0.22564,                  1.888,                 1.6925,                 2.1834,              0.0081784,              0.0081784,              0.0081784
                     94,                 1.1942,                   1.16,                 1.4187,                0.60491,                0.48183,                 0.4949,                0.22807,                 1.9013,                 1.6747,                 2.1987,              0.0081586,              0.0081586,              0.0081586
                     95,                 1.2059,                 1.1729,                 1.4309,                0.60356,                0.48309,                0.49922,                0.23424,                 1.8818,                 1.6666,                 2.1675,              0.0081388,              0.0081388,              0.0081388
                     96,                 1.1766,                 1.1683,                 1.4092,                0.56576,                0.50549,                0.49402,                0.23253,                 1.8942,                 1.6842,                 2.1858,               0.008119,               0.008119,               0.008119
                     97,                 1.1726,                 1.1397,                 1.4012,                0.58124,                 0.4916,                0.48798,                0.22751,                 1.9254,                 1.6887,                 2.2096,              0.0080992,              0.0080992,              0.0080992
                     98,                 1.1849,                  1.143,                 1.3987,                0.58033,                0.49503,                0.49522,                0.23072,                 1.9193,                 1.6844,                  2.206,              0.0080794,              0.0080794,              0.0080794
                     99,                 1.1881,                 1.1537,                 1.4148,                0.58038,                 0.4814,                0.48781,                 0.2253,                 1.9152,                 1.6861,                 2.2004,              0.0080596,              0.0080596,              0.0080596
                    100,                  1.174,                  1.145,                 1.4088,                0.58162,                0.48943,                0.48827,                0.23333,                 1.8959,                 1.6857,                 2.1833,              0.0080398,              0.0080398,              0.0080398
                    101,                 1.1755,                 1.1443,                 1.4029,                0.59137,                0.47971,                0.48666,                0.23029,                 1.8824,                 1.6784,                 2.1712,                0.00802,                0.00802,                0.00802
                    102,                 1.1603,                 1.1265,                 1.3895,                0.59332,                0.49408,                0.48635,                0.22962,                  1.904,                 1.6678,                 2.1889,              0.0080002,              0.0080002,              0.0080002
                    103,                 1.1756,                 1.1333,                 1.4054,                0.57538,                0.49155,                0.48605,                 0.2321,                 1.8995,                 1.7002,                 2.1892,              0.0079804,              0.0079804,              0.0079804
                    104,                 1.1622,                  1.134,                 1.3943,                0.56607,                0.46619,                0.46218,                0.21608,                 1.9104,                 1.7125,                  2.209,              0.0079606,              0.0079606,              0.0079606
                    105,                 1.1534,                 1.1188,                 1.3832,                0.57517,                 0.4904,                0.48521,                0.22488,                 1.9042,                 1.6881,                 2.1961,              0.0079408,              0.0079408,              0.0079408
                    106,                 1.1457,                 1.0936,                 1.3763,                0.63966,                0.46577,                0.49845,                0.23528,                 1.9028,                 1.6737,                 2.2012,               0.007921,               0.007921,               0.007921
                    107,                 1.1396,                 1.0948,                 1.3686,                0.57568,                0.49487,                0.49493,                0.23299,                 1.9008,                 1.6798,                 2.1989,              0.0079012,              0.0079012,              0.0079012
                    108,                 1.1328,                 1.0751,                 1.3731,                0.58712,                0.48563,                0.48995,                0.22725,                 1.9248,                 1.6908,                 2.2201,              0.0078814,              0.0078814,              0.0078814
                    109,                 1.1409,                 1.0716,                 1.3784,                0.58116,                0.47422,                   0.48,                0.22835,                 1.9098,                 1.7018,                 2.2148,              0.0078616,              0.0078616,              0.0078616
                    110,                 1.1357,                 1.1071,                 1.3732,                0.60665,                0.48648,                0.49604,                0.22987,                 1.9054,                 1.6889,                 2.2146,              0.0078418,              0.0078418,              0.0078418
                    111,                 1.1494,                 1.0876,                 1.3783,                0.59472,                0.46788,                0.48668,                0.22748,                 1.9241,                 1.6785,                 2.2283,               0.007822,               0.007822,               0.007822
                    112,                 1.1376,                 1.0594,                 1.3707,                0.60532,                0.47591,                0.49513,                0.23464,                 1.9116,                 1.6656,                 2.2017,              0.0078022,              0.0078022,              0.0078022
                    113,                 1.1315,                 1.0893,                 1.3596,                0.59589,                0.48436,                0.50111,                0.23205,                 1.8994,                 1.6682,                 2.1935,              0.0077824,              0.0077824,              0.0077824
                    114,                 1.1173,                 1.0613,                  1.353,                0.61991,                0.46047,                0.49599,                0.22926,                 1.9236,                 1.6826,                 2.2182,              0.0077626,              0.0077626,              0.0077626
